ScottishDeerhound10_34154	24	166	5	3	0	59.67	12.7	0.0	0.0	179
CairnTerrier12	34	161	3	0	0	0.0	0.0	0.0	0.0	0
ChineseCrested05	50	146	1	1	0	36	0.0	0.0	0.0	36
BullTerrier13_23592	6	185	7	0	0	0.0	0.0	0.0	0.0	0
ChineseSharpei04_11447	24	168	6	0	0	0.0	0.0	0.0	0.0	0
YorkshireTerrier14	30	163	3	2	0	31	0.0	0.0	0.0	62
BullTerrier06	44	148	4	2	0	59	0.0	0.0	0.0	118
Dingo19_35310	56	139	2	1	0	54	0.0	0.0	0.0	54
BiewerTerrier03_31247	2	185	9	2	0	109	0.0	0.0	0.0	218
LabradorRetriever21	56	134	4	4	0	30.5	20.21	0.0	0.0	122
GermanShepherd20_30910	46	147	5	0	0	0.0	0.0	0.0	0.0	0
YorkshireTerrier32	44	149	5	0	0	0.0	0.0	0.0	0.0	0
BerneseMountainDog22_26577	56	142	0	0	0	0.0	0.0	0.0	0.0	0
BullTerrier43_34623	6	184	8	0	0	0.0	0.0	0.0	0.0	0
BelgianSheepdog10_22740	54	140	4	0	0	0.0	0.0	0.0	0.0	0
LapponianHerder01	64	128	2	4	0	33	6.93	0.0	0.0	132
IndigenousDogNigeria03	50	147	0	1	0	13	0.0	0.0	0.0	13
UnknownBreed09	82	116	0	0	0	0.0	0.0	0.0	0.0	0
BorderCollie06	96	100	0	2	0	27	0.0	0.0	0.0	54
UnknownBreed26	76	118	0	4	0	52	8.08	0.0	0.0	208
BlackRussianTerrier01	56	139	3	0	0	0.0	0.0	0.0	0.0	0
BerneseMountainDog06_1441	78	112	6	2	0	41	0.0	0.0	0.0	82
AustralianShepherd01_27104	54	138	5	1	0	39	0.0	0.0	0.0	39
XiasiDog01	48	148	1	0	1	0.0	0.0	-22	0.0	-22
Dingo10_35301	46	144	2	6	0	35	15.49	0.0	0.0	210
Coyote03	82	113	3	0	0	0.0	0.0	0.0	0.0	0
BelgianMalinois07_25490	50	146	2	0	0	0.0	0.0	0.0	0.0	0
ToyPoodle04	44	146	5	3	0	50	15.59	0.0	0.0	150
Wolf59	86	105	3	4	0	25.5	1.73	0.0	0.0	102
StandardPoodle08	26	165	7	0	0	0.0	0.0	0.0	0.0	0
YorkshireTerrier76_14941	30	164	4	0	0	0.0	0.0	0.0	0.0	0
Leonberger13	198	0	0	0	0	0.0	0.0	0.0	0.0	0
ShetlandSheepdog15_30371	82	112	4	0	0	0.0	0.0	0.0	0.0	0
GL15.12	80	118	0	0	0	0.0	0.0	0.0	0.0	0
Wolf93	60	133	5	0	0	0.0	0.0	0.0	0.0	0
TibetanTerrier04	56	140	0	2	0	45	0.0	0.0	0.0	90
ClumberSpaniel03_33091	40	149	6	3	0	48	5.2	0.0	0.0	144
WestHighlandWhiteTerr21	198	0	0	0	0	0.0	0.0	0.0	0.0	0
AlaskanMalamute01_Reseq_30099	46	148	4	0	0	0.0	0.0	0.0	0.0	0
Wolf84	34	157	5	2	0	109	0.0	0.0	0.0	218
Chinook08_33360	26	165	7	0	0	0.0	0.0	0.0	0.0	0
AmericanStaffordshireTerrier06_24030	60	133	3	2	0	45	0.0	0.0	0.0	90
Maremma01_21897	44	146	6	2	0	54	0.0	0.0	0.0	108
Dingo32	54	136	6	2	0	41	0.0	0.0	0.0	82
WirehairedPointingGriffon01_27154	46	144	6	2	0	12.5	0.71	0.0	0.0	25
GermanShepherd09	26	167	5	0	0	0.0	0.0	0.0	0.0	0
BorderCollie19_33939	76	120	0	2	0	39	0.0	0.0	0.0	78
BerneseMountainDog09_4666	62	133	1	2	0	15	0.0	0.0	0.0	30
Pointer02_15391	42	146	6	4	0	54.5	0.58	0.0	0.0	218
GermanShorthairedPointer01_30644	34	161	3	0	0	0.0	0.0	0.0	0.0	0
PetitBassetGriffonVendeen04_12353	46	148	2	2	0	59	0.0	0.0	0.0	118
Whippet01	56	136	6	0	0	0.0	0.0	0.0	0.0	0
GoldenRetriever24	26	167	4	1	0	41	0.0	0.0	0.0	41
WolfTibetan06	60	131	7	0	0	0.0	0.0	0.0	0.0	0
DogueDeBordeaux01_25487	30	158	6	4	0	84	28.87	0.0	0.0	336
EastSiberianLaika01	64	131	3	0	0	0.0	0.0	0.0	0.0	0
Pug04	90	108	0	0	0	0.0	0.0	0.0	0.0	0
CatahoulaLeopardDog01_Reseq_33138	26	166	5	1	0	13	0.0	0.0	0.0	13
PatagonianOvejeroDog04_34830	26	164	8	0	0	0.0	0.0	0.0	0.0	0
Samoyed04_33261	56	138	2	2	0	45	0.0	0.0	0.0	90
BoykinSpaniel02_9998	26	167	5	0	0	0.0	0.0	0.0	0.0	0
Wolf94	36	148	12	2	0	30	21.21	0.0	0.0	60
ChineseIndigenousDog11	28	166	4	0	0	0.0	0.0	0.0	0.0	0
GL08.03	80	117	1	0	0	0.0	0.0	0.0	0.0	0
PortugueseWaterDog09_Reseq_30157	48	146	2	2	0	54	0.0	0.0	0.0	108
Weimaraner05	24	164	8	2	0	119	0.0	0.0	0.0	238
NorwichTerrier04	16	176	5	1	0	38	0.0	0.0	0.0	38
BelgianSheepdog08_30647	48	145	4	1	0	37	0.0	0.0	0.0	37
BerneseMountainDog03_941	38	157	3	0	0	0.0	0.0	0.0	0.0	0
CaucasianOvcharka02_7997	26	162	7	3	0	54.67	0.58	0.0	0.0	164
AlpineDachsbrake02	46	146	6	0	0	0.0	0.0	0.0	0.0	0
BullTerrier31_23719	46	148	4	0	0	0.0	0.0	0.0	0.0	0
