ShetlandSheepdog15_30371	82	2	2	1	0.0	-2	0.0	-2	D
StdManchesterTerrier02_33490	80	0	1	0	0	-2	0	-2	D
TibetanSpaniel03	74	0	1	0	0	-2	0	-2	D
VillDog_China04	26	2	2	2	0.0	-3	2.83	-2	D
VillDog_China26	12	0	2	0	0	-1	0.0	-2	D
VillDog_China47	46	0	1	0	0	-2	0	-2	D
VillDog_PapuaNG01	46	0	2	0	0	-1	0.0	-2	D
Wolf32	44	2	2	1	0.0	-2	0.0	-2	W
Wolf40	80	0	1	0	0	-2	0	-2	W
YorkshireTerrier05	24	1	4	2	0	-1	0.0	-2	D
YorkshireTerrier13	40	0	2	0	0	-1	0.0	-2	D
YorkshireTerrier45	28	1	4	2	0	-1	0.0	-2	D
YorkshireTerrier48	60	0	2	0	0	-1	0.0	-2	D
YorkshireTerrier68	56	0	2	0	0	-1	0.0	-2	D
CairnTerrier05	40	0	1	0	0	-1	0	-1	D
FlatCoatedRetriever06_25517	56	0	1	0	0	-1	0	-1	D
FlatCoatedRetriever12_31166	56	0	1	0	0	-1	0	-1	D
FrenchBulldog01	18	3	4	1.67	0.58	-1.5	0.58	-1	D
GermanShepherd09	26	1	4	3	0	-1	0.0	-1	D
GoldenRetriever27	76	1	1	1	0	-2	0	-1	D
ItalianGreyhound02	54	1	2	2	0	-1.5	0.71	-1	D
LagottoRomagnolo03	34	2	1	2	0.0	-5	0	-1	D
MountainCur03_33173	26	4	3	1.5	0.58	-2.33	2.31	-1	D
OldEnglishSheepdog02_6003	76	1	1	1	0	-2	0	-1	D
PortugueseWaterDog03_30003	50	2	1	2	0.0	-5	0	-1	D
Puli01_27429	52	2	3	1.5	0.71	-1.33	0.58	-1	D
ShetlandSheepdog03	66	1	1	1	0	-2	0	-1	D
UnknownBreed24	32	0	1	0	0	-1	0	-1	D
VillDog_Namibia01	52	1	1	1	0	-2	0	-1	D
Wolf08	60	3	2	1	0.0	-2	0.0	-1	W
Wolf68	62	0	1	0	0	-1	0	-1	W
Wolf74	60	4	3	1	0.0	-1.67	0.58	-1	W
WolfTibetan07	72	1	1	1	0	-2	0	-1	D
Xoloitzcuintli01	28	0	1	0	0	-1	0	-1	D
YorkshireTerrier44	28	1	3	2	0	-1	0.0	-1	D
511	198	0	0	0	0	0	0	0	D
AfghanHound03	60	0	0	0	0	0	0	0	D
AfricanWildDog03	198	0	0	0	0	0	0	0	W
AlaskanMalamute04	198	0	0	0	0	0	0	0	D
AlgonquinWolf13467	94	2	2	1	0.0	-1	0.0	0	W
AmericanEskimoDog01_10800	54	1	2	2	0	-1	0.0	0	D
AmericanEskimoDog05_10805	58	1	2	2	0	-1	0.0	0	D
AmericanStaffordshireTerrier04	14	3	4	2	0.0	-1.5	0.58	0	D
AmericanWaterSpaniel01_987	78	0	0	0	0	0	0	0	D
AustralianShepherd06	198	0	0	0	0	0	0	0	D
Basenji01	44	2	2	2	0.0	-2	0.0	0	D
BedlingtonTerrier04_28914	34	3	2	1.33	0.58	-2	0.0	0	D
BelgianTervuren08_28302	62	0	0	0	0	0	0	0	D
BelgianTervuren16_BT1300	54	2	2	2	0.0	-2	0.0	0	D
BergerBlancSuisse01	30	2	4	2	0.0	-1	0.0	0	D
Bern_AlpineDachsbracke	34	1	2	2	0	-1	0.0	0	D
BerneseMountainDog10_4687	60	0	0	0	0	0	0	0	D
BerneseMountainDog19_11957	56	0	0	0	0	0	0	0	D
BerneseMountainDog22_26577	56	0	0	0	0	0	0	0	D
BichonFrise01	86	0	0	0	0	0	0	0	D
BiewerTerrier07_34303	34	1	2	2	0	-1	0.0	0	D
BlackRussianTerrier01	56	1	2	2	0	-1	0.0	0	D
BorderCollie09	76	0	0	0	0	0	0	0	D
BorderTerrier04	70	0	0	0	0	0	0	0	D
BullTerrier01	6	2	2	2	0.0	-2	0.0	0	D
CairnTerrier03	28	1	1	2	0	-2	0	0	D
CairnTerrier06	46	1	2	2	0	-1	0.0	0	D
CairnTerrier09	52	1	2	2	0	-1	0.0	0	D
CairnTerrier13	50	1	2	2	0	-1	0.0	0	D
CarolinaDog03_31703	54	1	2	2	0	-1	0.0	0	D
ChineseIndigenousDog02	28	1	2	2	0	-1	0.0	0	D
ChineseIndigenousDog14	70	0	0	0	0	0	0	0	D
Collie02_28861	52	1	2	2	0	-1	0.0	0	D
Coyote02	88	0	0	0	0	0	0	0	W
Coyote07	92	2	1	1	0.0	-2	0	0	W
Dachshund05	62	0	0	0	0	0	0	0	D
Doberman03	36	3	1	1.67	0.58	-5	0	0	D
DutchShepherd01	198	0	0	0	0	0	0	0	D
EastSiberianLaika01	64	1	2	2	0	-1	0.0	0	D
EnglishBulldog01	198	0	0	0	0	0	0	0	D
EnglishSetter01	64	0	0	0	0	0	0	0	D
EntlebucherSennenhund02	56	1	2	2	0	-1	0.0	0	D
