BelgianTervuren12_BT1032	Sheepdog
BelgianTervuren13_BT1241	Sheepdog
BelgianTervuren14_BT1246	Sheepdog
BelgianTervuren15_BT1259	Sheepdog
BelgianTervuren16_BT1300	Sheepdog
BelgianTervuren17_BT1332	Sheepdog
BelgianTervuren18_BT1355	Sheepdog
BelgianTervuren19_33058	Sheepdog
BelgianTervuren20_34513	Sheepdog
BergerBlancSuisse01	Herding
BergerPicard01	Herding
BergerPicard02	Herding
BergerPicard03	Herding
BergerPicard04	Herding
BergerPicard05_33251	Herding
BergerPicard06_33252	Herding
BergerPicard07	Herding
Bern_AlpineDachsbracke	Hound
BerneseMountainDog01_4679	MountainDog
BerneseMountainDog02_30814	MountainDog
BerneseMountainDog03_941	MountainDog
BerneseMountainDog04_1003	MountainDog
BerneseMountainDog05_1300	MountainDog
BerneseMountainDog06_1441	MountainDog
BerneseMountainDog07_2488	MountainDog
BerneseMountainDog08_4164	MountainDog
BerneseMountainDog09_4666	MountainDog
BerneseMountainDog10_4687	MountainDog
BerneseMountainDog11_4767	MountainDog
BerneseMountainDog12_4851	MountainDog
BerneseMountainDog13_7507	MountainDog
BerneseMountainDog14_12307	MountainDog
BerneseMountainDog15_13020	MountainDog
BerneseMountainDog16_13108	MountainDog
BerneseMountainDog17_20139	MountainDog
BerneseMountainDog18_969	MountainDog
BerneseMountainDog19_11957	MountainDog
BerneseMountainDog20_21874	MountainDog
BerneseMountainDog21_21878	MountainDog
BerneseMountainDog22_26577	MountainDog
BerneseMountainDog23_26606	MountainDog
BerneseMountainDog24_28441	MountainDog
BerneseMountainDog25_33589	MountainDog
BerneseMountainDog26_34297	MountainDog
BichonFrise01	Waterdog
BichonFrise02_974	Waterdog
BichonFrise03_13125	Waterdog
BichonFrise04_13198	Waterdog
BiewerTerrier01_33805	Terrier
BiewerTerrier02_31246	Terrier
BiewerTerrier03_31247	Terrier
BiewerTerrier04_31248	Terrier
BiewerTerrier05_31253	Terrier
BiewerTerrier06_31256	Terrier
BiewerTerrier07_34303	Terrier
BlackBackedJackal01	Wild
BlackRussianTerrier01	Herding
Bloodhound01_25394	Hound
Boerboel01_21873	Mastiff
Boerboel02_33148	Mastiff
BorderCollie01	Terrier
BorderCollie02	Terrier
BorderCollie03	Terrier
BorderCollie06	Terrier
BorderCollie07	Terrier
BorderCollie08	Terrier
BorderCollie09	Terrier
BorderCollie10	Terrier
BorderCollie11	Terrier
BorderCollie12	Terrier
BorderCollie13	Terrier
BorderCollie14	Terrier
BorderCollie15	Terrier
BorderCollie16	Terrier
BorderCollie17	Terrier
BorderCollie18_33928	Terrier
BorderCollie19_33939	Terrier
BorderCollie20_33967	Terrier
BorderCollie21_34026	Terrier
BorderCollie22_34073	Terrier
BorderCollie23_34101	Terrier
BorderCollie24	Terrier
BorderCollie25_BC_27398	Terrier
BorderCollie26_BC_30512	Terrier
BorderCollie27_BC_31618	Terrier
BorderCollie28	Terrier
BorderCollie29	Terrier
BorderTerrier01	Terrier
BorderTerrier02	Terrier
BorderTerrier03	Terrier
BorderTerrier04	Terrier
Borzoi01_13141	Sighthound
BostonTerrier01_950	Mastiff
BostonTerrier02	Mastiff
BostonTerrier03	Mastiff
BouvierDesFlandres01_29776	Sheepdog
BouvierDesFlandres02_30531	Sheepdog
BouvierDesFlandres03	Sheepdog
BouvierDesFlandres04_28721	Sheepdog
BouvierDesFlandres05_20143	Sheepdog
BouvierdesFlandres06_15380	Sheepdog
BouvierdesFlandres07_22254	Sheepdog
Boxer01	Mastiff
