Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
VAL_008	R4	300	1.89	0.927	1.91	W
VAL_008	R5	230	0.961	0.583	1.91	W
VAL_011	R1	80	1.325	0.7	1.14	W
VAL_011	R2	205	4.805	0.966	1.14	W
VAL_011	R3	245	2.147	0.906	1.14	W
VAL_011	R4	300	0.853	0.527	1.14	W
VAL_011	R5	230	2.726	0.783	1.14	W
VAL_012	R1	80	0	0	0.74	W
VAL_012	R2	205	1.527	0.717	0.74	W
VAL_012	R3	245	0.592	0.551	0.74	W
VAL_012	R4	300	0.73	0.503	0.74	W
VAL_012	R5	230	0.996	0.565	0.74	W
VAL_033	R1	80	1.175	0.588	1	W
VAL_033	R2	205	3.098	0.932	1	W
VAL_033	R3	245	2.563	0.878	1	W
VAL_033	R4	300	1.24	0.65	1	W
VAL_033	R5	230	2.022	0.804	1	W
VAL_035	R1	80	0	0	1.55	W
VAL_035	R2	205	2.054	0.937	1.55	W
VAL_035	R3	245	3.143	0.878	1.55	W
VAL_035	R4	300	0.637	0.503	1.55	W
VAL_035	R5	230	2.778	0.722	1.55	W
VAL_037	R1	80	0.725	0.725	0.63	W
VAL_037	R2	205	1.141	0.698	0.63	W
VAL_037	R3	245	0.976	0.788	0.63	W
VAL_037	R4	300	1.19	0.58	0.63	W
VAL_037	R5	230	0.304	0.261	0.63	W
VAL_050	R1	80	2.163	0.688	3.29	W
VAL_050	R2	205	5.132	1	3.29	W
VAL_050	R3	245	5.273	0.955	3.29	W
VAL_050	R4	300	3.51	0.873	3.29	W
VAL_050	R5	230	4.613	0.9	3.29	W
VAL_18A	R1	80	1.263	0.65	0.97	W
VAL_18A	R2	205	1.039	0.459	0.97	W
VAL_18A	R3	245	1.016	0.739	0.97	W
VAL_18A	R4	300	0.22	0.22	0.97	W
VAL_18A	R5	230	0.839	0.509	0.97	W
Yana-1	R1	80	0.488	0.438	2.8	W
Yana-1	R2	205	0.293	0.249	2.8	W
Yana-1	R3	245	0.045	0.045	2.8	W
Yana-1	R4	300	0.143	0.11	2.8	W
Yana-1	R5	230	0	0	2.8	W
YPM_9664_A	R1	80	1.862	0.838	3.7	W
YPM_9664_A	R2	205	7.951	1	3.7	W
YPM_9664_A	R3	245	11.784	1	3.7	W
YPM_9664_A	R4	300	4.797	0.82	3.7	W
YPM_9664_A	R5	230	5.957	0.939	3.7	W
