Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
ASHQ01	R1	80	1.387	0.75	2.4	D
ASHQ01	R2	205	2.839	1	2.4	D
ASHQ01	R3	245	4.539	0.931	2.4	D
ASHQ01	R4	300	3.617	0.657	2.4	D
ASHQ01	R5	230	4.639	0.961	2.4	D
ASHQ06	R1	80	3.875	0.925	1.8	D
ASHQ06	R2	205	3.2	1	1.8	D
ASHQ06	R3	245	2.465	0.931	1.8	D
ASHQ06	R4	300	2.013	0.84	1.8	D
ASHQ06	R5	230	1.417	0.8	1.8	D
ASHQ08	R1	80	2.775	0.838	2.2	D
ASHQ08	R2	205	2.985	0.98	2.2	D
ASHQ08	R3	245	2.331	0.682	2.2	D
ASHQ08	R4	300	4.667	0.937	2.2	D
ASHQ08	R5	230	3.557	0.73	2.2	D
C26	R1	80	0.425	0.425	0.2	D
C26	R2	205	0.185	0.185	0.2	D
C26	R3	245	0.216	0.216	0.2	D
C26	R4	300	0	0	0.2	D
C26	R5	230	0.226	0.226	0.2	D
C27	R1	80	0	0	0.3	D
C27	R2	205	0.268	0.268	0.3	D
C27	R3	245	0.576	0.416	0.3	D
C27	R4	300	0.167	0.167	0.3	D
C27	R5	230	0	0	0.3	D
C32	R1	80	6.225	1	7.2	D
C32	R2	205	8.254	1	7.2	D
C32	R3	245	2.229	0.751	7.2	D
C32	R4	300	1.28	0.69	7.2	D
C32	R5	230	2.543	0.578	7.2	D
C5	R1	80	0	0	0.6	D
C5	R2	205	1.268	0.629	0.6	D
C5	R3	245	0.429	0.429	0.6	D
C5	R4	300	0.18	0.18	0.6	D
C5	R5	230	0.396	0.396	0.6	D
C62	R1	80	1.3	1	0.7	D
C62	R2	205	2.717	0.898	0.7	D
C62	R3	245	1.506	0.849	0.7	D
C62	R4	300	0.57	0.397	0.7	D
C62	R5	230	1.557	0.7	0.7	D
C88	R1	80	0.787	0.775	0.7	D
C88	R2	205	1.639	0.668	0.7	D
C88	R3	245	0.469	0.322	0.7	D
C88	R4	300	0.467	0.297	0.7	D
C88	R5	230	0.657	0.535	0.7	D
C89	R1	80	0.55	0.412	2.2	D
C89	R2	205	4.932	1	2.2	D
C89	R3	245	2.241	0.853	2.2	D
C89	R4	300	1.01	0.58	2.2	D
C89	R5	230	0.661	0.361	2.2	D
C90	R1	80	0.562	0.562	0.6	D
C90	R2	205	1.229	0.702	0.6	D
C90	R3	245	1.824	0.453	0.6	D
C90	R4	300	0.623	0.39	0.6	D
C90	R5	230	0.183	0.183	0.6	D
C94	R1	80	0.013	0.012	0.2	D
C94	R2	205	0.722	0.629	0.2	D
C94	R3	245	0.559	0.559	0.2	D
C94	R4	300	0	0	0.2	D
C94	R5	230	0	0	0.2	D
cac	R1	80	28.925	0.988	32.8	W
cac	R2	205	5.244	0.527	32.8	W
cac	R3	245	8.314	1	32.8	W
cac	R4	300	8.817	0.917	32.8	W
cac	R5	230	3.3	0.852	32.8	W
CGG23	R1	80	7.575	0.988	4.66	W
CGG23	R2	205	12.893	1	4.66	W
CGG23	R3	245	13.661	1	4.66	W
CGG23	R4	300	8.587	1	4.66	W
CGG23	R5	230	14.765	1	4.66	W
CGG29	R1	80	5.525	0.938	6.9	W
CGG29	R2	205	11.146	1	6.9	W
CGG29	R3	245	9.008	0.984	6.9	W
CGG29	R4	300	4.667	0.723	6.9	W
CGG29	R5	230	11.409	0.948	6.9	W
CGG32	R1	80	12.463	0.887	15.04	W
CGG32	R2	205	13.298	1	15.04	W
CGG32	R3	245	13.996	1	15.04	W
CGG32	R4	300	6.657	0.717	15.04	W
