367	R1	80	0	0	0.02	W
ACAD17371	R1	80	0	0	0.06	W
AH574	R1	80	0	0	0.36	W
AH575	R1	80	1.05	0.65	1.15	W
AH577	R1	80	0.4	0.4	0.57	W
AL2022	R1	80	1.987	0.775	2.6	D
AL2242	R1	80	0.525	0.525	0.18	D
AL2350	R1	80	0.537	0.537	1.4	W
AL2370	R1	80	0.487	0.387	0.44	W
AL2397	R1	80	1.637	0.812	1.5	D
AL2541	R1	80	1.062	1	0.79	W
AL2571	R1	80	1.438	0.488	1.1	D
AL2657	R1	80	0.125	0.125	0.95	W
AL2660	R1	80	0	0	0.6	W
AL2741	R1	80	1.025	0.738	1.52	W
AL2744	R1	80	3.35	1	3.16	W
AL2893	R1	80	0	0	0.32	W
AL2946	R1	80	0	0	0.2	D
AL3185	R1	80	4.263	0.95	4.4	W
AL3272	R1	80	1.137	0.762	0.38	W
AL3284	R1	80	0	0	0.05	W
ALAS_015	R1	80	0.887	0.887	1.27	D
ALAS_016	R1	80	5.263	0.863	2.94	W
ALAS_024	R1	80	0.637	0.637	1.04	W
alc	R1	80	7	1	6.8	W
ALPO01	R1	80	0.562	0.562	1.6	D
ANH5	R1	80	0	0	1	W
ASHQ01	R1	80	1.387	0.75	2.4	D
ASHQ06	R1	80	3.875	0.925	1.8	D
ASHQ08	R1	80	2.775	0.838	2.2	D
C26	R1	80	0.425	0.425	0.2	D
C27	R1	80	0	0	0.3	D
C32	R1	80	6.225	1	7.2	D
C5	R1	80	0	0	0.6	D
C62	R1	80	1.3	1	0.7	D
C88	R1	80	0.787	0.775	0.7	D
C89	R1	80	0.55	0.412	2.2	D
C90	R1	80	0.562	0.562	0.6	D
C94	R1	80	0.013	0.012	0.2	D
cac	R1	80	28.925	0.988	32.8	W
CGG23	R1	80	7.575	0.988	4.66	W
CGG29	R1	80	5.525	0.938	6.9	W
CGG32	R1	80	12.463	0.887	15.04	W
CGG33	R1	80	10.212	1	15.28	W
CGG34	R1	80	0.6	0.6	0.2	W
CGG6	R1	80	3.5	0.838	9.2	D
CH1109	R1	80	0	0	0.03	W
CTC	R1	80	5.4	0.963	9.2	D
DS04	R1	80	0	0	0.83	W
F3781	R1	80	0	0	0.8	D
glw	R1	80	25.325	1	23.8	W
HellsGap11000	R1	80	0	0	1.5	W
HellsGap2500	R1	80	0.212	0.213	0.8	W
HMNH_007	R1	80	0.713	0.463	1.09	W
HMNH_011	R1	80	0.412	0.338	1.4	W
HMNH_017	R1	80	0	0	0.4	D
HOV4	R1	80	0.1	0.1	0.99	W
HXH	R1	80	7.375	0.875	9.4	D
IN18_005	R1	80	0	0	1.71	W
IN18_016	R1	80	8.737	1	13.01	W
inw	R1	80	38.725	0.988	27.129	W
IRK	R1	80	0.562	0.562	0.23	W
irw	R1	80	28.113	0.975	29.65	W
ita	R1	80	7.175	0.963	6.7	W
JAL385	R1	80	2.325	0.6	4	W
JAL48	R1	80	1.525	0.95	1.12	W
JAL65	R1	80	0	0	0.43	W
JAL69	R1	80	0	0	1.5	W
JK2174	R1	80	1.712	0.825	4.33	W
JK2175	R1	80	0.438	0.438	1.23	W
JK2179	R1	80	3.512	0.963	2.96	W
JK2181	R1	80	1.188	0.875	0.64	W
JK2183	R1	80	6.525	1	7.26	W
LOW002	R1	80	3.188	0.912	6	W
LOW003	R1	80	6.162	1	6.4	W
LOW006	R1	80	1.55	0.95	3.6	W
LOW007	R1	80	1.175	0.9	2.3	W
LOW008	R1	80	0	0	1	W
MCZ_25374	R1	80	0	0	3.2	W
MCZ_BOM_11183	R1	80	15.175	0.963	25	W
Portauchoix	R1	80	12.7	0.85	11.7	D
montana_wolf	R1	80	37.113	0.95	28.5	W
NGDG	R1	80	25.575	0.975	28	D
NMNH_137125	R1	80	3.413	0.95	7.7	W
NMNH_223936	R1	80	1.9	0.95	12.6	W
NMNH_224185	R1	80	6.55	0.95	12.1	W
NMNH_234427	R1	80	1.662	0.9	3	W
NMNH_264482	R1	80	3.125	0.95	3.1	W
NMNH_52057	R1	80	2.05	0.838	3.5	W
NMNH_64968	R1	80	0	0	2.5	W
NMW_005	R1	80	0.6	0.6	1.04	W
OL4029	R1	80	0	0	0.1	D
OL4061	R1	80	0.487	0.488	1.8	D
OL4222	R1	80	1.238	0.838	4.5	D
OL4223	R1	80	1.5	0.613	2.2	D
PDM100	R1	80	0	0	0.09	W
PON012	R1	80	2.038	0.838	2.4	W
ptw	R1	80	26.037	1	27.8	W
rwa	R1	80	26.375	1	28.5	W
rwb	R1	80	9.137	0.988	7.1	W
SC1061	R1	80	13.312	1	17.5	D
SC19.MCJ010	R1	80	2.212	0.887	3.07	W
SC19.MCJ014	R1	80	1.425	0.95	1.07	W
SC19.MCJ015	R1	80	2.25	0.75	2.32	W
SC19.MCJ017	R1	80	0	0	0.48	W
SOTN01	R1	80	12.012	0.963	11.2	D
Taimyr-1	R1	80	0	0	2.9	W
TGEZ06	R1	80	0.412	0.412	0.9	D
THRZ02	R1	80	0.412	0.412	0.1	D
TU144	R1	80	0	0	0.92	W
TU148	R1	80	0.625	0.625	0.36	W
TU839	R1	80	0.512	0.425	0.6	W
TU840	R1	80	0	0	1.1	W
Tumat	R1	80	4.325	0.975	5.16	W
UZAA01	R1	80	4.1	1	5.5	D
UZAA02	R1	80	2.825	0.575	5.8	D
VAL_005	R1	80	0.613	0.512	0.77	W
VAL_008	R1	80	1.613	0.55	1.91	W
VAL_011	R1	80	1.325	0.7	1.14	W
VAL_012	R1	80	0	0	0.74	W
VAL_033	R1	80	1.175	0.588	1	W
VAL_035	R1	80	0	0	1.55	W
VAL_037	R1	80	0.725	0.725	0.63	W
VAL_050	R1	80	2.163	0.688	3.29	W
VAL_18A	R1	80	1.263	0.65	0.97	W
Yana-1	R1	80	0.488	0.438	2.8	W
YPM_9664_A	R1	80	1.862	0.838	3.7	W
